Variant,ARIMA_RMSE,ARIMAX_RMSE,ARIMA_MAE,ARIMAX_MAE,ARIMA_R2,ARIMAX_R2,Improvement_RMSE
Alpha,0.5047380655248684,0.9002840131779872,0.4129559227276672,0.7249059973791492,-0.22888238695428686,-2.9096445821148293,-78.36657757163556
Delta,23.17230049128167,22.94572993864529,19.965207100727028,20.12120732256805,-0.2009276772287636,-0.17755799720490284,0.9777646061582294
Epsilon,2.122907256375164,29.97428971604311,2.0810359402547283,18.13998019498059,-18.45736230205378,-3877.999502916612,-1311.9453229070314
Iota,0.3807899934977047,0.3934997323845159,0.18257054428532385,0.18794031770923175,-0.01268098397261297,-0.081410253030054,-3.337729221838866
