,mass
37191,1152255.5338564094
42123,0.0
05061,0.0
37059,3774440.863564485
37111,5005769.240381051
05099,1870457.5885856391
08125,0.0
48421,0.0
48463,0.0
39011,1827133.5267767373
22015,5479228.3841424165
19063,0.0
20169,3133157.74931715
21153,0.0
48017,0.0
29027,3375690.6759088743
56001,3333360.8763767825
56029,0.0
42093,683001.3857276621
36081,28923285.92565445
12121,3458969.924557157
26031,2377486.529062875
01111,0.0
37009,0.0
08033,0.0
39089,5421542.449856224
51683,0.0
05139,0.0
17071,0.0
01101,16017358.84438816
08005,24883344.626541022
21155,0.0
28051,1757221.0279662667
28105,0.0
30027,0.0
24023,2534546.8180879857
22119,2057290.8806348583
26059,0.0
21141,0.0
46033,0.0
33013,13980569.135554193
42133,8251110.569122746
37161,0.0
46005,0.0
01043,4670823.637744909
13097,9070686.247073412
31097,0.0
37187,0.0
46075,983843.4037816264
29177,0.0
39073,0.0
01085,2762821.781815324
13043,1493006.9347596383
19113,5981624.57009483
06105,0.0
13215,4523544.463338197
28135,0.0
20005,0.0
17041,1347241.422888021
51079,0.0
55137,852710.2452206002
05065,0.0
06053,0.0
35017,1372145.7248566484
29131,0.0
37193,0.0
13087,0.0
18177,3215602.4352848986
21009,2159092.1564913844
31093,0.0
38025,0.0
06005,0.0
47049,0.0
20031,614392.5224132376
26023,1737502.6059709224
31139,0.0
13023,163983.42603255677
13033,0.0
17181,1012919.1274651152
17091,2713743.579145487
38051,0.0
31141,0.0
37185,1158881.052329154
13197,0.0
51061,3823454.1359795644
51750,90854.60680039877
32005,0.0
12037,0.0
18055,362724.324947882
18139,0.0
55131,5479463.597177632
29105,3339531.6123481095
42085,2712469.868143888
41043,6494557.344417406
55065,0.0
40147,0.0
54077,1055207.9247076258
55135,0.0
48137,0.0
41037,0.0
29153,0.0
19059,0.0
21095,0.0
20061,1895363.1300384551
42011,4090961.879414352
47019,244461.27011040002
27083,0.0
51037,0.0
47179,4372419.671934569
45071,4610667.994434805
51093,0.0
41069,0.0
29023,0.0
22047,3726209.9491072097
28125,0.0
51111,0.0
38097,1278129.2963331148
13139,4247407.458796676
13283,1484018.9581257636
13037,0.0
55125,0.0
27007,0.0
13055,0.0
45033,4537919.86045615
37103,0.0
29199,0.0
20131,0.0
20137,0.0
55075,0.0
53011,15910410.365491347
55099,0.0
40093,0.0
47125,5513124.7077840585
53051,0.0
38055,0.0
41027,2753149.371035576
19197,338605.1101905027
48419,0.0
29055,2083150.3226852997
51017,0.0
56033,1205251.0112345596
42041,7786889.129081978
42055,4860197.854473203
42079,7977238.144363741
26039,1875543.2889697023
01113,0.0
39019,0.0
05055,0.0
48191,0.0
55013,0.0
35057,4290902.538413811
53049,0.0
37141,3264506.2729859347
48221,0.0
31177,0.0
29045,0.0
21015,15772888.560248323
21229,0.0
22009,779837.9166499755
28137,1478866.9380978295
29227,0.0
31163,0.0
46021,0.0
46063,0.0
26057,0.0
19175,0.0
17127,1349529.9177358125
27043,908506.3667648213
47057,0.0
48161,4370220.849530694
42087,0.0
01041,0.0
51520,2570734.172499734
48399,0.0
48443,0.0
20153,0.0
20193,1599332.6192685864
13161,0.0
19035,0.0
05145,0.0
28083,0.0
29053,2980777.9739967124
26043,0.0
17197,26062607.05965854
48117,126316.49857856019
46011,1034384.492401415
19083,0.0
22023,0.0
39027,2342886.708998506
27137,1934033.001140327
39093,9527234.055085354
47101,0.0
41067,8328988.160489368
51810,15080009.250698915
30057,118355.54192413586
51103,0.0
29013,1578183.5656434335
33001,2004702.2535996144
51159,0.0
29159,0.0
30063,3194776.569609218
20019,0.0
48459,0.0
51047,0.0
40061,0.0
54069,2986178.5455831126
54065,0.0
51165,4405659.179102663
18183,0.0
04001,4373773.345238138
29121,0.0
48279,0.0
20097,0.0
48015,3056362.998123403
29061,1351844.7707970222
13253,0.0
26101,0.0
19119,0.0
48233,0.0
40139,0.0
40153,0.0
19003,0.0
55109,5287662.645695681
42121,673378.3741299674
39153,28463819.517394744
13127,6414266.1092598485
48479,5215681.54319129
37123,1741176.6264893457
23003,739797.89561257
28065,0.0
18175,0.0
46051,269118.6830409003
46091,0.0
53067,14739061.019707827
31107,0.0
35061,1953301.3652158983
30079,465549.4389616421
49031,0.0
21161,0.0
27009,0.0
48129,560143.3634362887
12005,0.0
01077,0.0
18045,1050092.2554473765
17173,248565.14935442834
17051,2999438.906710995
39127,0.0
51590,0.0
13011,1353788.2616895898
13305,0.0
40109,50374363.805843644
40069,0.0
37099,0.0
49043,6482607.945015251
29167,0.0
32015,917395.4938841941
19191,0.0
20125,0.0
45039,3699235.1658852263
31033,770936.238533458
27091,934179.12954277
47155,2269233.179670967
47139,0.0
48263,0.0
30099,300907.2242225435
31069,0.0
17117,1234277.7388892882
39141,0.0
17195,1581821.2364644255
48141,28091599.296613336
48301,0.0
40077,0.0
39167,1180351.432390594
29091,0.0
20047,0.0
21111,54294194.70709047
17107,4747506.651071813
55139,9474887.128664065
47003,104019.990884
47027,0.0
17029,1682318.9925889396
47097,0.0
41001,2943571.4546320494
36097,0.0
26159,4898827.936113646
17131,0.0
28099,0.0
46045,0.0
01035,3311504.7398399385
18029,1822504.836451085
18071,2940656.333353813
28081,2143607.8315353123
22125,0.0
05035,6836670.396343709
12063,2878312.29709663
48125,0.0
51115,0.0
38075,0.0
48283,3372230.6093880106
36067,16154610.320986154
19087,0.0
31083,0.0
30075,0.0
55091,0.0
01021,5637087.803489603
48351,0.0
48219,0.0
13009,0.0
37175,0.0
37171,4281747.170165307
01031,0.0
39149,3468805.6472211876
16027,6950044.410295037
55041,0.0
55113,0.0
34017,9323301.717279235
39151,6291028.103563313
48187,7260062.600660617
53029,0.0
54037,0.0
51153,32665349.898836125
42029,2336718.2666312447
54055,3624864.1379205924
47145,4346940.654855969
28049,19616972.56300935
48281,0.0
51107,0.0
29185,0.0
36025,581139.9819295664
30071,0.0
29129,0.0
46127,3040374.651934474
01051,2158570.1479194053
13187,0.0
39083,0.0
19017,0.0
48175,0.0
37089,5206339.836459111
12061,4710469.770318464
48393,0.0
31049,117727.86552370369
36051,1946107.9082187542
19141,0.0
22075,0.0
28115,368952.29473025625
27105,1085855.690329533
27001,0.0
38071,0.0
37145,0.0
20195,1425803.3354339327
28151,0.0
48133,3551672.058043656
28055,0.0
48123,0.0
48005,0.0
45081,0.0
29125,0.0
05001,0.0
29109,2970558.3990998026
51540,37340.9174224
17011,3110029.2155397367
39145,0.0
37115,1139342.794938877
16053,3557652.876558037
39163,0.0
48309,14082811.306255676
16037,0.0
19089,0.0
12099,85726648.93800285
13181,0.0
01013,5202934.838076327
27003,6060570.400395284
46009,0.0
47059,6720459.962576788
51183,2540095.4208364547
18141,2624369.5148481205
38067,302776.34773643
19165,0.0
24013,613067.2691090993
19011,819149.8420774734
21159,0.0
27025,3488655.4830949674
21189,0.0
42015,129058.99804159056
54029,0.0
29051,0.0
26021,13243054.999533651
42061,269393.5137231221
31045,0.0
51141,0.0
48325,1345849.3530004958
26105,0.0
45013,0.0
46135,0.0
22001,4736904.496392749
42039,748642.0253214582
46123,0.0
19077,0.0
19183,0.0
46111,0.0
40051,2290001.1875530053
54039,16036186.613720942
01009,2168118.252659561
45065,0.0
45087,0.0
27103,0.0
28161,1320718.4699609373
26079,0.0
22039,427839.22918565164
47069,0.0
04003,6993747.698051009
35023,2122955.986612117
38023,0.0
06071,175049857.27717924
08083,0.0
28023,717609.3987295764
19125,0.0
31055,23299758.392750043
51600,993384.8235064
40057,0.0
29039,0.0
13059,0.0
16085,0.0
48275,0.0
05103,0.0
39037,0.0
40071,2188904.0233453973
46041,0.0
41057,0.0
13077,12138412.220933497
13105,0.0
01005,0.0
37017,0.0
48111,0.0
17167,9738569.413496137
40035,1627568.67173328
47035,5479513.704657284
26137,1699238.488560279
19161,0.0
17113,9705546.590224767
23001,940410.7186242226
16055,4918467.407393686
32003,70658303.58275689
20147,0.0
31089,0.0
29101,0.0
55063,1952442.0271859514
22021,0.0
21061,686435.6435652588
17005,1737710.873237589
17009,0.0
27111,1827473.002296484
39077,0.0
13005,0.0
10001,0.0
39173,15213040.718253877
13157,5588448.405535426
20003,0.0
17095,2153544.879312203
30107,0.0
47009,422547.192904
30031,3472087.249515562
45031,2076045.991647917
01053,2768683.22899302
13143,1380447.3693491686
20001,0.0
55049,0.0
27097,0.0
42003,15962723.569418773
29205,0.0
39097,6441450.531632613
20201,0.0
17019,8403526.327979868
16087,0.0
17045,0.0
08121,621871.6474008545
39065,0.0
26113,0.0
38093,1495763.596398912
29203,0.0
48423,5187104.91830571
40143,12686504.621068835
40091,1821461.6466403892
48395,0.0
48171,338755.8827035112
26125,55097824.32634759
54093,0.0
55023,0.0
01071,0.0
19123,0.0
20045,2737129.8032620167
21059,0.0
21197,0.0
29097,3716649.995231966
41061,2098542.4622769775
13151,21501397.056643177
47175,0.0
40125,2486387.229796133
35053,2952799.9638565267
13003,0.0
12031,68516147.28651594
48145,606375.90174657
05149,0.0
20033,0.0
21113,0.0
21171,0.0
48031,0.0
55015,0.0
21121,0.0
26067,3670087.039351892
37129,2179884.6740833586
47131,0.0
21035,0.0
51003,4901991.117879215
47147,8398964.797473937
51043,0.0
53023,0.0
21109,0.0
27031,0.0
45073,781194.2811896002
22033,22770446.084576983
28021,0.0
24037,0.0
21127,0.0
21175,0.0
21177,0.0
17049,5084460.76067341
47105,6398826.127918672
46025,0.0
12041,0.0
18157,4414006.736141654
42109,0.0
48277,0.0
12086,49091750.82397917
31057,0.0
48289,3967569.349568853
08097,0.0
38035,1344232.8051684606
18091,5829084.450152341
18057,5191805.682203885
51595,431191.5445088401
40081,2960116.56048882
20071,0.0
13145,2512665.825196867
13251,0.0
48433,0.0
39069,0.0
33009,4661753.611269145
29145,3253559.2947794357
18129,916691.8569520594
48311,0.0
17035,2548283.8286784156
13297,208582.0252693826
27121,0.0
51157,0.0
51009,0.0
06111,0.0
17033,0.0
08093,0.0
27115,2916301.4661325044
48021,0.0
53039,0.0
53055,0.0
55009,8635750.995653713
20205,0.0
22069,4305958.315010563
22109,0.0
13155,0.0
26011,1513385.4130895694
19111,0.0
20141,0.0
26047,102069.3830408
19071,1391596.1192816223
23015,0.0
21023,0.0
55037,0.0
54087,569838.5504867471
27159,0.0
37007,0.0
38007,312522.75439314096
31003,0.0
29073,0.0
12067,0.0
37035,4996068.867757015
21025,0.0
48075,0.0
29181,0.0
17179,4383840.541588791
48243,411074.09491651773
51678,0.0
05135,0.0
08069,8038617.986655841
27163,9615371.558684224
51740,1761006.7851152723
42051,40565.707065055336
54023,0.0
51171,6908714.94287491
48235,0.0
54101,0.0
49011,30333671.942753576
27033,0.0
01063,3277651.3288450614
16033,522358.74816123047
19109,0.0
38013,0.0
37063,21956258.127260692
19085,1773255.1492126156
31103,0.0
19187,0.0
17151,0.0
47159,3513678.8306343653
51089,0.0
51510,10854817.530692525
19101,0.0
30049,1272144.4092483784
49013,0.0
40003,0.0
48119,0.0
47169,0.0
21193,0.0
46039,562333.6377951065
41029,7104676.719107242
48507,0.0
31007,0.0
19121,207533.48097492862
12011,103007881.31760365
13279,0.0
26151,0.0
48397,4775451.980208739
26163,86455127.8802529
18043,4089818.3674909743
20129,0.0
21081,6139247.2261408735
21217,0.0
13115,0.0
32001,1212342.390937938
24011,0.0
27041,2145800.373553331
30043,2532415.2951832158
51059,90722272.8361093
30023,576358.9337635656
47001,2968381.77308743
37075,0.0
54045,0.0
54073,0.0
51071,0.0
54019,1612460.2193345856
53061,38240336.32029967
35015,0.0
31117,0.0
31145,0.0
30051,0.0
48131,0.0
29173,0.0
48251,4314572.169047687
13061,0.0
41023,0.0
41011,0.0
48159,1665456.8932463368
36113,3597009.1623202525
51113,0.0
40005,0.0
17129,0.0
13015,15417395.102330608
12069,0.0
40111,754136.8255678173
38083,0.0
18049,0.0
20091,22304160.477923136
24009,0.0
55129,0.0
53031,0.0
27169,2266252.8963845377
28149,2505000.9704799163
29003,1300639.9095757257
29139,2680031.3754302673
20021,0.0
37083,4737357.573586039
35043,6547425.134556452
21051,0.0
42035,895995.920482737
13235,0.0
37015,0.0
37167,0.0
47143,0.0
37079,363781.4189181032
21131,0.0
24039,0.0
17123,765357.721948039
21143,2190032.3566243383
48095,0.0
48081,0.0
47133,0.0
26063,0.0
26069,0.0
13069,0.0
13299,0.0
38037,0.0
22051,7684650.6695288
22103,19912400.358454682
45045,21201947.806204457
46085,1683281.964673423
55121,409069.21853153943
06113,17875540.405779164
48431,0.0
48495,0.0
46071,1400519.7169660586
49041,2237538.9328562934
51036,0.0
20197,1758385.169092523
27055,0.0
21181,0.0
25023,5711476.5146099385
36005,23796992.215294518
37055,0.0
39103,9898340.495735915
42005,0.0
34001,0.0
55071,2710214.17943931
55029,0.0
37047,0.0
39053,0.0
48441,3471755.9576942604
26085,0.0
26139,5528238.8258139
17031,196706246.45128557
17059,0.0
45047,0.0
20059,2006375.7294453175
27027,2170295.006970371
47075,4103243.0911429464
49003,8286454.019986518
28139,0.0
54051,0.0
54035,2917311.56679056
16039,4881603.3169008205
24005,78710245.41107471
38005,0.0
29163,0.0
39087,0.0
29201,2066272.4790570529
39001,0.0
48143,533296.2664481014
13137,0.0
13319,0.0
54061,5219291.623552868
39033,0.0
12027,118104.17411054068
39059,5579775.253346786
26015,0.0
29209,0.0
51760,12113985.226461658
37169,0.0
19039,1126905.5446608828
19065,0.0
06041,1366608.5720587643
48381,3039367.1676467024
48401,0.0
19181,1896933.554385603
39161,0.0
12043,0.0
13199,1067696.0508236082
50023,1897716.709356949
46093,2135736.8405795414
29229,0.0
30101,372300.39800643467
36107,8636.5598032
48287,0.0
13121,121750258.49957113
48073,0.0
29007,0.0
45029,5388224.494677682
55055,3289788.469446826
22107,0.0
47123,1551133.135442202
20075,0.0
19151,0.0
16045,0.0
05063,0.0
05085,2472709.747198466
18111,574581.1962340596
13119,3946011.875602599
12051,0.0
13265,1069624.0180646873
48245,8148360.124504034
30059,0.0
29087,1771404.669552033
48295,0.0
37065,0.0
48241,0.0
49001,2787491.1010894957
13213,0.0
18075,0.0
26117,0.0
36083,2970911.6301285434
12021,10014721.129749114
35031,7213878.259709429
13017,0.0
05077,0.0
12003,2612810.57394329
13173,0.0
20159,0.0
01015,2167814.7268110947
28059,8507434.188891942
21037,6038749.273553648
21057,0.0
28107,2615396.8862685184
48195,0.0
48071,10598094.144769998
13239,0.0
05031,1432047.8511608373
29195,2343025.874785459
17193,570678.5214975731
17039,480394.4782476036
32033,0.0
27049,0.0
37173,0.0
12101,10016367.786953578
12119,10569175.284796052
36059,23165576.9193754
38091,0.0
18163,2615046.239283403
29071,5304446.308371448
37011,0.0
54107,2414689.3126994744
55007,0.0
47161,0.0
55097,2488813.9174705152
45063,18474085.572233956
24003,20341857.76005851
55039,3070093.764622437
22071,18003884.962124012
01073,68020367.6534163
01127,5457840.967907679
29063,195408.27049748055
12039,3568434.939020821
13083,2561105.3306088424
28033,7129254.581797546
51187,2425009.704312688
17047,0.0
47113,5192600.5500087
17125,0.0
51197,8147950.553718233
13303,0.0
53077,5802261.892087571
05143,7548572.326038212
48213,0.0
55035,2974764.6080978345
47153,0.0
48471,5282564.813564099
04005,12652838.251298267
12087,0.0
39157,3916322.3083018064
09110,74297371.35147054
09120,10681658.341016853
09130,9767481.038556233
09140,11941071.807824664
09150,6311483.300895785
09160,0.0
09170,36025821.12745879
09180,13049021.576582953
09190,30907851.022161435
51710,18909647.88559706
48389,2884842.3977305964
51155,3188131.402471192
37179,0.0
38053,0.0
12091,2503714.507513667
06001,183531416.57773164
17013,0.0
18085,0.0
28103,0.0
05147,0.0
34015,6215880.75044165
33011,7211654.957825995
30045,0.0
37121,0.0
30077,1205140.6147277786
41053,0.0
41065,3106572.6907137325
46105,0.0
19173,0.0
01129,0.0
39039,0.0
54025,1609857.9686541294
17121,2068311.2309761676
51051,0.0
51007,0.0
13243,0.0
35029,3790448.8720458886
48355,7403435.832859749
56045,0.0
17187,0.0
01089,9259744.394763673
47189,12012434.858817957
48063,0.0
40067,0.0
54085,0.0
19145,0.0
20087,0.0
22045,0.0
37133,0.0
01049,3278273.781719293
36101,6155874.1553322
42053,0.0
22105,9645132.286246547
51179,16028891.28917569
26109,0.0
18073,5141553.612924236
13025,0.0
13171,1284602.6310643093
18151,3439859.0853860746
48361,8952040.882485699
39047,3060668.6769214217
25015,1725694.8189701873
21003,0.0
37001,17882857.463111673
20073,0.0
54031,0.0
55089,3898290.4321613004
47163,5815306.829387838
45059,4872507.06248834
56011,1213345.6317342918
55117,2519001.4280519495
25013,20065887.24138402
48055,622579.8508025985
20029,0.0
06027,0.0
01037,0.0
55123,0.0
29093,0.0
48223,4691146.6690482395
36001,17632202.645211194
48225,0.0
39111,0.0
20165,0.0
18107,1373904.0681058732
20187,0.0
21129,0.0
27071,0.0
48029,104979716.89296193
08013,0.0
47089,9021169.296274802
40097,861688.784364297
37093,0.0
31131,0.0
42023,0.0
45035,5549566.86729071
27161,0.0
46015,961656.7475756281
47177,0.0
17023,2673880.1346615525
21201,0.0
47095,0.0
45015,7017986.505455946
05051,0.0
20139,832308.7748282567
39155,4598950.167760804
48333,0.0
48359,2934263.3873766344
42019,2713166.0311519303
16049,0.0
20115,0.0
51029,0.0
36099,2058963.567727104
21125,5396924.934629547
47121,0.0
29213,0.0
13269,0.0
51830,0.0
48415,0.0
08047,0.0
40087,5293478.616319907
54071,0.0
51139,0.0
40079,0.0
54089,445216.67914205126
37119,96587959.72330339
34013,26244641.990332313
29115,0.0
13209,0.0
41055,858104.9323082002
54053,0.0
54021,65219.10016
28063,0.0
38079,0.0
30103,462058.3433813915
21049,3231586.5531767663
26005,3182188.8923906405
47005,1390452.3257328
27015,0.0
47137,0.0
51109,2956115.937474489
18145,3820471.4050635463
30091,0.0
31063,0.0
01007,0.0
28075,4276256.132483334
27011,0.0
27013,0.0
51091,0.0
51177,7828554.386656274
33017,0.0
13153,5528572.746143625
26035,0.0
20157,0.0
12127,27254788.46324607
40017,7269247.6197769
35019,4570978.617878816
21163,0.0
21179,0.0
21187,0.0
19041,0.0
30025,0.0
46107,0.0
48109,2525070.8021724136
23005,11633248.58271916
48013,3803656.3288902054
20095,0.0
06093,5252097.231656418
46037,0.0
48375,5732846.278869268
40133,1351366.372550924
45003,6697363.275600959
06045,0.0
51550,10204563.629527675
56037,8539975.465195475
48169,0.0
42119,533699.9962433507
51041,9830794.933497572
08023,0.0
48099,575863.7763472
19001,2019600.55000962
13053,0.0
06043,0.0
29089,0.0
41047,18865306.987134974
55079,41772967.07040564
27139,1062495.5356424781
39129,529778.1044685108
51145,0.0
08014,3846037.9416000005
47099,0.0
18147,546209.6086410754
21099,4923565.332518822
21137,0.0
30005,0.0
41003,0.0
27133,762648.1049808044
42063,0.0
22061,3559590.9245456452
42099,0.0
46137,0.0
48203,4843794.816940231
26013,0.0
40131,3532151.772156837
29019,3514846.2726018345
40015,1971964.08762852
08059,14678582.305234328
54011,3958074.701512701
48383,0.0
05141,0.0
08117,4096311.33185641
20035,0.0
05071,2605800.8499898072
36041,0.0
51045,0.0
48083,0.0
04017,5017234.494506268
28085,2014149.1346666687
48357,0.0
48103,128836.87951121385
56003,0.0
46003,870062.5868006805
31061,0.0
24029,0.0
20037,0.0
27023,0.0
46103,3957307.067268253
45049,1230345.5862435005
16043,0.0
13029,5663281.622666459
51053,3065460.5348052597
12111,11472088.001106739
36055,18528285.973697677
46083,3434262.2019821573
55017,0.0
55073,1769448.180808617
32007,4754693.507616131
54007,2367241.3226122838
26165,0.0
48079,0.0
42013,1985203.4881168976
29085,0.0
29009,0.0
27123,32496926.49341155
05081,0.0
32019,937672.9332531426
12071,18787146.612036914
41033,3024279.7789880657
28113,1928530.1984762307
47031,6192473.817839504
48439,95819848.39805478
24033,67940191.30378078
51169,0.0
48239,0.0
40085,2903782.8049718654
13289,2141728.3858573344
39099,7846973.052832829
01087,4714272.858856439
17191,1044310.3500787102
48437,1258906.1077994918
29151,0.0
17089,8371473.564534009
06017,0.0
45055,3175433.202914261
37073,0.0
08089,0.0
41019,9647211.176087182
50003,0.0
12019,0.0
37183,63393751.21673078
39061,53757193.9422652
34003,32148245.350514885
32017,0.0
55061,0.0
48369,0.0
40151,0.0
21063,0.0
25003,2381678.320758017
29041,0.0
08103,0.0
08087,2663533.49332811
41045,1502007.7905561577
34023,66012183.69728203
20191,2341888.2563336804
26127,0.0
27065,0.0
39007,3045996.851861839
06003,0.0
48167,9481070.436542792
01011,0.0
17105,2393655.8057552935
39135,2290960.194765028
39079,0.0
48201,250896387.0236213
25017,84066569.3364818
48115,0.0
36069,4149262.6638544057
01001,3256391.3694789484
39049,79265662.96657874
49021,6420479.428862834
32009,0.0
26083,0.0
49039,0.0
20093,0.0
12009,25575136.80699458
18105,2415328.021135612
19117,0.0
21239,780192.260565665
17085,0.0
18059,3567028.7724396884
51620,0.0
48329,4261477.595055919
20171,0.0
30013,1443428.9706636243
51660,1573583.4275930559
17199,3320031.322290674
30029,0.0
20189,0.0
29155,3005857.598084049
31125,0.0
55078,0.0
48365,0.0
21011,985386.3396011693
48001,0.0
51033,9647719.541884836
19167,0.0
06021,3313726.278117901
29510,22913009.93264528
13111,0.0
24019,0.0
42037,963544.2475902502
39023,9070731.249420432
48323,0.0
04019,35169492.39994293
35006,6767075.232192177
34005,22479281.92059225
50021,0.0
13099,0.0
31149,0.0
47085,2320372.9217358544
26051,0.0
