,Model_val,MA_val,LV_val,Model_test,MA_test,LV_test
rmse,3307.24755859375,3880.150146484375,5484.021484375,2411.1123046875,2683.252685546875,3660.968505859375
mae,1532.5870361328125,1814.2635498046875,2160.470947265625,1062.3353271484375,1106.2562255859375,1261.48046875
mape,86.57575988769531,90.73640441894531,123.61882019042969,82.1199951171875,68.17219543457031,97.39842224121094
