,Model_val,MA_val,LV_val,Model_test,MA_test,LV_test
rmse,3369.597900390625,3858.5703125,5470.451171875,2597.512939453125,2814.39013671875,3776.145263671875
mae,1576.11962890625,1817.4771728515625,2159.654052734375,1159.4149169921875,1135.91943359375,1294.0958251953125
mape,90.0154800415039,92.46980285644531,125.53141021728516,89.6917495727539,68.13086700439453,97.62928771972656
