4.349872171878814697e-01,inf,2.898245751857757568e-01,1.661404371261596680e+00,7.811411023139953613e-01,1.946560293436050415e-02,inf,2.397525608539581299e-01,1.656273305416107178e-01,inf,6.320578002929687500e+01,8.718237280845642090e-02,inf,2.214661359786987305e+00,inf,4.716387271881103516e+00,5.004047155380249023e-01,2.054569572210311890e-01,1.145910501480102539e+00,4.226958453655242920e-01,2.805449962615966797e-01,2.022309452295303345e-01,7.578638195991516113e-02,3.664791584014892578e+00,4.274618148803710938e+00,4.305458366870880127e-01,7.415614277124404907e-02,6.913360357284545898e-01,3.804311454296112061e-01,4.835680127143859863e-01,4.066957831382751465e-01,5.241371917724609375e+01,inf,6.715155243873596191e-01,4.615074694156646729e-01,2.942017912864685059e-01,inf,1.378375142812728882e-01,inf,2.829177500000000000e+06,2.914233207702636719e-01,2.712481319904327393e-01,6.048675775527954102e-01,6.648512000000000000e+06,6.351059302687644958e-03,inf,8.699664473533630371e-01,3.048655092716217041e-01,1.525385600000000000e+07
3.877595067024230957e-01,inf,3.819509148597717285e-01,7.052394747734069824e-01,5.521063208580017090e-01,2.964895069599151611e-01,6.634639501571655273e-01,3.894658386707305908e-01,1.008798405528068542e-01,inf,6.045339629054069519e-02,3.250676691532135010e-01,6.747898459434509277e-02,inf,inf,8.619725704193115234e-01,4.949853718280792236e-01,6.020768359303474426e-02,3.706278279423713684e-02,3.816434741020202637e-01,inf,3.610613569617271423e-02,4.639515280723571777e-02,4.639982581138610840e-01,7.633324265480041504e-01,9.380781650543212891e-01,2.198454737663269043e-01,7.382622361183166504e-01,1.646396368741989136e-01,4.525461792945861816e-01,2.736313104629516602e+00,1.249702930450439453e+01,4.094000160694122314e-01,inf,inf,3.359862565994262695e-01,8.799587488174438477e-01,5.842759832739830017e-02,inf,7.600423500000000000e+06,4.537832140922546387e-01,6.053382530808448792e-02,inf,1.500921400000000000e+07,9.180711209774017334e-02,5.588608980178833008e-01,1.350222587585449219e+00,1.029128551483154297e+00,2.300147600000000000e+07
inf,inf,4.689086973667144775e-01,inf,inf,inf,inf,1.430504024028778076e-01,3.644653037190437317e-02,inf,inf,inf,inf,4.241178929805755615e-01,inf,inf,inf,2.262478917837142944e-01,inf,inf,inf,inf,inf,inf,inf,inf,3.870261907577514648e-01,inf,2.651208043098449707e-01,inf,2.880877256393432617e+00,inf,inf,inf,4.563567638397216797e-01,inf,5.419788360595703125e-01,inf,inf,8.752578000000000000e+06,inf,1.509759724140167236e-01,inf,6.249808000000000000e+06,1.160759300000000000e+07,inf,inf,inf,3.573093200000000000e+07
inf,inf,1.033457279205322266e+00,1.409942626953125000e+02,4.187439382076263428e-01,inf,inf,1.185380100000000000e+07,inf,inf,inf,inf,inf,inf,inf,2.451646804809570312e+00,inf,9.863015000000000000e+06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.181597709655761719e+00,inf,4.031845569610595703e+00,inf,inf,inf,inf,inf,inf,inf,inf,9.496087000000000000e+06,inf,1.581486910581588745e-01,inf,1.364498100000000000e+07,1.328922100000000000e+07,6.082293701171875000e+02,inf,inf,3.541795200000000000e+07
5.986744761466979980e-01,inf,1.780329346656799316e+00,1.740231066942214966e-01,3.682752847671508789e-01,3.596552312374114990e-01,inf,1.687941600000000000e+07,3.103335499763488770e-01,5.487380218505859375e+01,6.142945289611816406e-01,4.872219860553741455e-01,3.126758038997650146e-01,inf,inf,8.089309334754943848e-01,4.754553437232971191e-01,1.107700000000000000e+07,1.588676571846008301e-01,2.227436751127243042e-01,inf,3.318039774894714355e-01,4.082490205764770508e-01,1.234640717506408691e+00,5.268447399139404297e+00,inf,inf,5.903000384569168091e-02,4.088380813598632812e+00,7.576563358306884766e-01,2.746612727642059326e-01,1.026033210754394531e+01,inf,inf,inf,3.636499643325805664e-01,inf,2.693496942520141602e-01,inf,8.421730000000000000e+06,inf,5.360499024391174316e-02,inf,1.277897400000000000e+07,5.236569046974182129e-01,4.526951014995574951e-01,1.157443374395370483e-01,3.801837563514709473e-01,2.370368800000000000e+07
1.346602588891983032e-01,inf,2.511731982231140137e-01,4.031069576740264893e-01,1.070636808872222900e-01,1.998920142650604248e-01,inf,5.481128692626953125e-01,6.360434740781784058e-02,inf,6.480871582031250000e+01,2.348574548959732056e-01,inf,3.077698647975921631e-01,inf,5.169404983520507812e+00,5.625199079513549805e-01,4.182499051094055176e-01,5.283579826354980469e-01,7.393473982810974121e-01,inf,5.502395629882812500e-01,8.182047749869525433e-04,5.371630668640136719e+00,6.169226646423339844e+00,2.283817678689956665e-01,9.272494912147521973e-02,1.160534024238586426e+00,3.697336912155151367e-01,3.640191256999969482e-01,1.522262215614318848e+00,3.574073028564453125e+01,inf,inf,2.975050508975982666e-01,2.409915626049041748e-01,3.108326494693756104e-01,3.313608765602111816e-01,6.463130712509155273e-01,8.502382000000000000e+06,4.966401159763336182e-01,3.291282653808593750e-01,inf,7.024857000000000000e+06,7.065383717417716980e-03,3.409534835815429688e+01,4.225923120975494385e-01,5.002779364585876465e-01,7.765961289405822754e-01
1.107711121439933777e-01,7.728678584098815918e-01,3.796003013849258423e-02,3.989273309707641602e+00,5.565990209579467773e-01,1.252283751964569092e-01,5.771026611328125000e-01,1.474445611238479614e-01,2.142613679170608521e-01,8.035342693328857422e-01,5.280928453430533409e-04,2.541665136814117432e-01,3.427991643548011780e-02,4.839998185634613037e-01,6.667928099632263184e-01,4.651029586791992188e+00,2.341599464416503906e-01,1.366004347801208496e-01,5.153018832206726074e-01,9.613919854164123535e-01,5.923042893409729004e-01,3.615751564502716064e-01,1.716798543930053711e-01,2.961284637451171875e+00,1.375416755676269531e+01,1.492669105529785156e+00,4.569796323776245117e-01,1.135389566421508789e+00,2.184748500585556030e-01,3.652377724647521973e-01,9.944472908973693848e-01,8.859575986862182617e-01,inf,inf,inf,7.382505387067794800e-02,4.420793056488037109e-01,1.931168325245380402e-02,inf,6.714313626289367676e-01,1.794651865959167480e+00,2.101832628250122070e-01,inf,7.124357819557189941e-01,2.575647458434104919e-02,5.180020928382873535e-01,4.855016171932220459e-01,5.007971525192260742e-01,3.357553600000000000e+07
4.891044497489929199e-01,inf,1.804686337709426880e-01,2.194570302963256836e+00,4.924961924552917480e-01,2.418496757745742798e-01,2.812424004077911377e-01,7.673292607069015503e-02,2.066040635108947754e-01,inf,2.651572227478027344e+01,3.704429566860198975e-01,inf,2.876047611236572266e+00,inf,5.100176811218261719e+00,4.930765032768249512e-01,6.684134155511856079e-02,1.155496761202812195e-01,7.342955470085144043e-01,4.711100757122039795e-01,2.697901129722595215e-01,1.004701405763626099e-01,2.570075511932373047e+00,1.026141929626464844e+01,9.321346282958984375e-01,1.956796795129776001e-01,1.703988671302795410e+00,1.151462495326995850e-01,2.209044694900512695e-01,5.537886023521423340e-01,4.351303100585937500e+00,6.117669343948364258e-01,7.325375676155090332e-01,5.148984789848327637e-01,2.901616692543029785e-01,inf,1.857909262180328369e-01,inf,2.174783200000000000e+07,5.869391188025474548e-02,3.242849409580230713e-01,4.733946919441223145e-01,9.518123000000000000e+06,5.547365918755531311e-02,9.758273124694824219e+00,7.414722442626953125e-01,8.145117014646530151e-02,3.245947600000000000e+07
5.090088248252868652e-01,inf,1.036740019917488098e-01,5.254539847373962402e-01,9.491664916276931763e-02,1.521622389554977417e-01,2.983538508415222168e-01,1.481604427099227905e-01,1.220998093485832214e-01,inf,3.181787729263305664e-01,2.839709632098674774e-02,2.143461853265762329e-01,inf,3.459996414184570312e+01,4.951441884040832520e-01,inf,3.611528575420379639e-01,1.900233775377273560e-01,8.426909446716308594e-01,inf,2.201804220676422119e-01,2.204258292913436890e-01,4.887986779212951660e-01,6.834670305252075195e-01,1.823073625564575195e+00,8.910793811082839966e-02,1.669592857360839844e+00,2.366490960121154785e-01,1.271610409021377563e-01,7.102296948432922363e-01,2.110546493530273438e+01,3.914294242858886719e-01,inf,inf,7.590869069099426270e-02,inf,4.138488769531250000e-01,inf,9.270601000000000000e+06,8.120689988136291504e-01,1.571751013398170471e-02,inf,1.171486700000000000e+07,4.806774854660034180e-02,6.420998573303222656e-01,inf,6.779564619064331055e-01,3.543117200000000000e+07
inf,inf,2.272842377424240112e-01,inf,3.954628705978393555e+00,inf,inf,1.618988000000000000e+07,inf,inf,inf,inf,inf,inf,inf,9.226311683654785156e+00,inf,6.862459331750869751e-02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.507637262344360352e-01,inf,2.995019912719726562e+00,inf,inf,inf,inf,inf,inf,inf,inf,1.009201600000000000e+07,inf,3.749668300151824951e-01,inf,9.897489000000000000e+06,1.137206400000000000e+07,1.444087982177734375e+02,inf,inf,3.641300000000000000e+07
